Provinsi,Rumah,Industri,Bisnis,Sosial,Bangunan Pemerintah,Penerangan Jalan Umum,Total,(%),Tahun
Kepulauan Riau,"522,77","39,37","324,84","45,74","43,43","23,45","999,60","0,35",2023
"UIW South Sumatera, Jambi and Bengkulu","5.801,19","1.375,90","1.789,46","430,20","210,40","198,49","9.805,65","3,40",2023
Sumatera Selatan,"3.494,16","1.110,18","1.140,58","262,06","123,84","147,68","6.278,50","2,18",2023
Jambi,"1.501,59","182,49","473,90","116,75","54,12","42,33","2.371,18","0,82",2023
Bengkulu,"805,45","83,24","174,98","51,39","32,44","8,48","1.155,97","0,40",2023
UIW Bangka Belitung,"820,81","431,14","249,42","61,27","38,18","9,99","1.610,81","0,56",2023
UIW Lampung,"3.239,05","1.194,64","854,76","267,07","76,91","129,48","5.761,91","2,00",2023
UIW West Kalimantan,"2.054,90","266,91","692,01","159,76","87,34","47,67","3.308,59","1,15",2023
UIW S and C Kalimantan,"3.035,63","939,91","1.032,43","267,97","160,03","88,98","5.524,95","1,92",2023
Kalimantan Selatan,"1.950,32","747,47","662,18","176,53","92,01","65,37","3.693,87","1,28",2023
Kalimantan Tengah,"1.085,32","192,44","370,25","91,44","68,02","23,61","1.831,08","0,63",2023
UIW East and North Kalimantan,"2.723,69","616,36","1.233,09","244,96","196,61","52,20","5.066,92","1,76",2023
"UIW N, C Sulawesi and Gorontalo","2.517,65","631,10","823,05","228,97","157,77","81,98","4.440,52","1,54",2023
Sulawesi Utara,"1.010,27","417,45","468,94","105,61","54,44","38,67","2.095,38","0,73",2023
Sulawesi Tengah,"1.059,72","121,86","242,85","83,53","62,58","32,38","1.602,92","0,56",2023
Gorontalo,"447,65","91,79","111,26","39,83","40,75","10,93","742,22","0,26",2023
"UIW S, SE and W Sulawesi","4.722,79","3.138,99","1.689,34","462,61","246,20","159,39","10.419,32","3,61",2023
Sulawesi Selatan,"3.524,89","3.008,86","1.352,63","370,64","170,71","130,31","8.558,03","2,97",2023
Sulawesi Tenggara,"861,59","83,06","261,49","63,77","51,47","21,56","1.342,95","0,47",2023
Sulawesi Barat,"336,31","47,08","75,22","28,19","24,02","7,52","518,33","0,18",2023
UIW Maluku and North Maluku,"875,04","297,55","291,10","75,00","94,88","18,52","1.652,08","0,57",2023
Maluku,"367,39","12,08","155,26","38,53","52,49","7,82","633,56","0,22",2023
Maluku Utara,"507,65","285,47","135,84","36,47","42,39","10,70","1.018,52","0,35",2023
UIW Papua and West Papua,"1.187,92","24,23","503,10","126,67","149,81","18,65","2.010,38","0,70",2023
Papua,"794,03","11,83","339,33","85,50","99,30","12,40","1.342,39","0,47",2023
Papua Barat,"393,89","12,40","163,77","41,16","50,51","6,25","667,98","0,23",2023
UID Bali,"2.738,18","207,62","3.033,84","210,03","101,77","63,09","6.354,53","2,20",2023
UIW West Nusa Tenggara,"1.608,71","238,93","492,64","125,64","51,72","54,96","2.572,60","0,89",2023
UIW East Nusa Tenggara,"808,83","43,19","316,24","92,72","54,13","18,15","1.333,25","0,46",2023
PT PLN Batam,"1.001,20","963,06","1.097,16","90,17","44,81","13,39","3.209,79","1,11",2023
O u t s i d e J a v a,"46.812,52","17.906,03","19.134,47","4.230,72","2.193,51","1.748,19","92.025,44","31,91",2023
