Provinsi,Tahun,Segmen Pelanggan,Distribusi Listrik (GWh)
UIW West Nusa Tenggara,2023,Penerangan Jalan Umum,5496.0
UIW East Nusa Tenggara,2023,Penerangan Jalan Umum,1815.0
PT PLN Batam,2023,Penerangan Jalan Umum,1339.0
UIW East Java,2023,Penerangan Jalan Umum,59040.0
UID Central Java and Yogyakarta,2023,Penerangan Jalan Umum,55399.0
Jawa Tengah,2023,Penerangan Jalan Umum,48918.0
D.I. Yogyakarta,2023,Penerangan Jalan Umum,6481.0
UIW West Java,2023,Penerangan Jalan Umum,42879.0
UID Banten,2023,Penerangan Jalan Umum,8612.0
UID Jakarta Raya,2023,Penerangan Jalan Umum,20771.0
